full_name,father_name,mother_name,gender,date_of_birth,office_phone,personal_mobile,alternate_phone,email_address,country,city,present_address,permanent_address,blood_group,religion,marital_status,national_id,date_of_joining,department,designation,employment_type,supervisor,degree_title,institute_name,group,duration,passing_year,result,bank_name,account_holder_name,account_number,branch,routing_number,etin_number,epf_number,system_username,system_password,email_accounts,software_access,additional_notes
Nafis Bashir,Farhan Siddiqui,Riaz Chowdhury,male,1970-07-24,912209159102,911215604339,916296673729,nafis.bashir@example.com,Bangladesh,Barishal,"54/172
Subramaniam Chowk, Barishal","59
Magar Ganj, Sylhet",A+,buddhism,single,13254448,2021-12-21,Sales,Manager,Part-time,Farhan Ahmed,MCom,BUET,Arts,4 years,2015,2.64,Dutch-Bangla Bank,Nafis Bashir,3189983075,Tadepalligudem,249870777,282551855888,12906935,nafis528,%p88mYh)m&,nafis.bashir@example.com,,
Nafis Khan,Tanvir Siddiqui,Mizan Rahman,male,1970-02-17,914931154328,6305091788,7593998241,nafis.khan@example.com,Bangladesh,Mymensingh,"H.No. 377, Thaker Marg, Mymensingh","34/74
Saran Ganj, Khulna",B-,christianity,married,13258315,2019-06-18,HR,Officer,Full-time,Fahim Chowdhury,MCom,Jahangirnagar University,Science,2 years,2019,3.11,Sonali Bank,Nafis Khan,3497679980,Motihari,652894389,231121785329,18816539,nafis439,lqT2TALu8_,nafis.khan@example.com,,
Tanvir Bashir,Tariq Siddiqui,Fahim Siddiqui,female,1974-09-25,9144640331,2720350524,1959898707,tanvir.bashir@example.com,Bangladesh,Cumilla,"17/62
Kapoor Circle, Cumilla","758, Mangal Chowk, Chattogram",A-,christianity,single,13262182,2022-05-30,Operations,Manager,Part-time,Mizan Siddiqui,BBA,BUET,Commerce,2 years,2018,3.74,Dutch-Bangla Bank,Tanvir Bashir,7759968305,Nanded,587206434,888679269482,26335414,tanvir228,z(4Dr36jC^,tanvir.bashir@example.com,,
Riaz Siddiqui,Nafis Alam,Rakib Rahman,male,1986-02-23,915296473808,7223831960,3212789658,riaz.siddiqui@example.com,Bangladesh,Rajshahi,"09/47, Balakrishnan Road, Rajshahi","675, Mand Street, Gazipur",B+,buddhism,single,13266049,2017-01-09,Operations,Officer,Full-time,Tariq Khan,BBA,Jahangirnagar University,Commerce,4 years,2001,3.82,Prime Bank,Riaz Siddiqui,1071575738,Ludhiana,187601548,789225534530,48293984,riaz626,b$5VQjNNKp,riaz.siddiqui@example.com,,
Nafis Ahmed,Nafis Rahman,Tariq Kabir,female,1973-07-23,5442654576,3539481761,912002266975,nafis.ahmed@example.com,Bangladesh,Barishal,"H.No. 299
Soni Nagar, Barishal","78, Hayer Road, Rangpur",B+,hinduism,married,13269916,2024-02-13,Sales,Officer,Full-time,Tariq Chowdhury,BBA,North South University,Science,4 years,2006,3.11,Islami Bank,Nafis Ahmed,1054350100,Kurnool,155258361,405754426887,80341180,nafis939,Wv&6zSnMwc,nafis.ahmed@example.com,,
Rakib Mollah,Nafis Hossain,Hasan Ahmed,male,1972-01-07,6535921281,1386072300,4883405578,rakib.mollah@example.com,Bangladesh,Khulna,"H.No. 943
Sachar Nagar, Khulna","72, Batta Street, Khulna",B-,christianity,married,13273783,2025-01-21,IT,Coordinator,Full-time,Farhan Siddiqui,BCom,BUET,Commerce,4 years,2001,2.97,Islami Bank,Rakib Mollah,8143238855,Nellore,854846147,488013720872,53941831,rakib139,@1B2bVKe(l,rakib.mollah@example.com,,
Farhan Khan,Mizan Siddiqui,Farhan Siddiqui,female,1981-09-06,8753773836,3973412639,8378965103,farhan.khan@example.com,Bangladesh,Chattogram,"48/30
Viswanathan Chowk, Chattogram","H.No. 491, Mander Street, Rajshahi",B-,christianity,single,13277650,2015-07-22,HR,Manager,Part-time,Mizan Khan,MA,Jahangirnagar University,Science,4 years,2006,3.43,Islami Bank,Farhan Khan,8167608515,Gurgaon,946925987,446575973465,53799562,farhan767,GpOw9Rfc$1,farhan.khan@example.com,,
Fahim Hossain,Tanvir Hossain,Shakib Siddiqui,female,1985-10-26,918983454925,4134344173,910473027216,fahim.hossain@example.com,Bangladesh,Barishal,"19/73
Chand Zila, Barishal","42
Dash, Rangpur",B+,islam,married,13281517,2020-12-25,Logistics,Engineer,Full-time,Farhan Ahmed,BA,North South University,Commerce,2 years,2022,2.66,Sonali Bank,Fahim Hossain,9376605994,Uluberia,754138156,308253934455,19699144,fahim847,^$EQV8VcC5,fahim.hossain@example.com,,
Fahim Rahman,Shakib Kabir,Shakib Rahman,female,1991-12-14,8424707935,417060457,7334839550,fahim.rahman@example.com,Bangladesh,Rangpur,"H.No. 19
Ramaswamy Chowk, Rangpur","49/322
Saini Ganj, Rangpur",B-,islam,married,13285384,2022-01-11,Sales,Engineer,Full-time,Nafis Khan,BBA,BUET,Commerce,4 years,2017,2.77,Islami Bank,Fahim Rahman,6369375902,Alappuzha,214023485,316273793731,41445965,fahim625,+9pGuu55g0,fahim.rahman@example.com,,
Rakib Khan,Rakib Chowdhury,Nafis Khan,male,1981-11-11,912921620410,910836961743,3423303472,rakib.khan@example.com,Bangladesh,Barishal,"12
Andra Street, Barishal","H.No. 681
Khurana Road, Khulna",O+,christianity,single,13289251,2024-03-29,Sales,Officer,Contract,Fahim Rahman,BSc in CSE,Jahangirnagar University,Commerce,2 years,2013,3.52,Prime Bank,Rakib Khan,7188173365,Meerut,749505909,846932103941,79260896,rakib670,F+6N+&3t+s,rakib.khan@example.com,,
